title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
red army,SPC,695000.0,0.0,2015,tt3264102,red army,2014,84.0,"Biography,Documentary,History",7.6,6140
the stanford prison experiment,IFC,661000.0,0.0,2015,tt0420293,the stanford prison experiment,2015,122.0,"Biography,Drama,History",6.9,32591
the assassin,WGUSA,633000.0,0.0,2015,tt3508840,the assassin,2015,105.0,"Action,Drama,History",6.3,14092
"kumiko, the treasure hunter",Ampl.,623000.0,0.0,2015,tt3263614,"kumiko, the treasure hunter",2014,105.0,Drama,6.6,10850
welcome to me,Alc,609000.0,0.0,2015,tt2788716,welcome to me,2014,87.0,"Comedy,Drama",5.9,17259
freeheld,LGF,573000.0,0.0,2015,tt1658801,freeheld,2015,103.0,"Biography,Drama,Romance",6.5,10534
when marnie was there,GK,561000.0,0.0,2015,tt3398268,when marnie was there,2014,103.0,"Animation,Drama,Family",7.7,24586
gabbar is back,Eros,535000.0,0.0,2015,tt2424988,gabbar is back,2015,128.0,Action,7.2,21092
let's get married,CL,463000.0,0.0,2015,tt4572856,let's get married,2015,127.0,"Comedy,Romance",5.6,140
bombay velvet,FIP,451000.0,0.0,2015,tt2979920,bombay velvet,2015,149.0,"Action,Crime,Drama",5.7,5029
attack on titan: part 1,FUN,450000.0,0.0,2015,tt2072230,attack on titan: part 1,2015,98.0,"Action,Adventure,Drama",5.1,11020
saint laurent,SPC,429000.0,0.0,2015,tt2707848,saint laurent,2014,150.0,"Biography,Drama,Romance",6.1,4829
listen to me marlon,SHO,426000.0,0.0,2015,tt4145178,listen to me marlon,2015,103.0,"Biography,Documentary",8.2,6330
heart of a dog,Abr.,421000.0,0.0,2015,tt4935446,heart of a dog,2015,75.0,Documentary,7.1,1846
unbranded,Grav.,410000.0,0.0,2015,tt3020666,unbranded,2015,106.0,Documentary,7.3,1254
the second mother,Osci.,377000.0,0.0,2015,tt3742378,the second mother,2015,112.0,"Comedy,Drama",7.8,10833
katti batti,UTV,365000.0,0.0,2015,tt4467262,katti batti,2015,135.0,"Comedy,Drama,Romance",4.9,2484
effie gray,AF,353000.0,0.0,2015,tt1605798,effie gray,2014,104.0,"Biography,Drama,Romance",5.9,3633
noble,Asp.,347000.0,0.0,2015,tt2626090,noble,2014,100.0,"Biography,Drama",6.8,1389
northern limit line,WGUSA,338000.0,0.0,2015,tt4696222,northern limit line,2015,130.0,"Drama,War",6.6,870
shamitabh,Eros,325000.0,0.0,2015,tt3836958,shamitabh,2015,155.0,Drama,6.8,6444
good kill,IFC,316000.0,0.0,2015,tt3297330,good kill,2014,102.0,"Drama,Thriller,War",6.4,21095
theeb,FM,283000.0,0.0,2015,tt3170902,theeb,2014,100.0,"Adventure,Drama,Thriller",7.2,8921
white god,Magn.,282000.0,0.0,2015,tt2844798,white god,2014,121.0,"Drama,Fantasy,Horror",6.9,13755
in the name of my daughter,Cohen,278000.0,0.0,2015,tt2929890,in the name of my daughter,2014,116.0,"Crime,Drama",6.1,1407
hitchcock/truffaut,Cohen,260000.0,0.0,2015,tt3748512,hitchcock/truffaut,2015,79.0,Documentary,7.4,4977
tevar,Eros,236000.0,0.0,2015,tt3398048,tevar,2015,157.0,"Action,Drama,Romance",4.2,2714
slow west,A24,229000.0,0.0,2015,tt3205376,slow west,2015,84.0,"Adventure,Western",6.9,38237
a royal night out,ADC,228000.0,0.0,2015,tt1837562,a royal night out,2015,97.0,"Comedy,Drama,Romance",6.5,8205
a pigeon sat on a branch reflecting on existence,Magn.,223000.0,0.0,2015,tt1883180,a pigeon sat on a branch reflecting on existence,2014,101.0,"Comedy,Drama,Fantasy",7.0,14199
pyaar ka punchnama 2,Rel.,223000.0,0.0,2015,tt4430136,pyaar ka punchnama 2,2015,137.0,"Comedy,Drama,Romance",7.3,12820
fall in love like a star,CL,213000.0,0.0,2015,tt4892714,fall in love like a star,2015,98.0,Romance,5.2,144
dark places,A24,209000.0,0.0,2015,tt2402101,dark places,2015,113.0,"Action,Drama,Mystery",6.2,38160
heneral luna,Abr.,206000.0,0.0,2015,tt4944352,heneral luna,2015,118.0,"Action,Biography,History",7.7,1659
gemma bovery,MBox,192000.0,0.0,2015,tt2788556,gemma bovery,2014,99.0,"Comedy,Drama,Romance",6.4,5146
the connection,Drft.,191000.0,0.0,2015,tt2935564,the connection,2014,135.0,"Action,Crime,Thriller",7.1,8941
the connection,Drft.,191000.0,0.0,2015,tt3856972,the connection,2014,72.0,"Documentary,News",8.3,30
maggie,RAtt.,187000.0,0.0,2015,tt1881002,maggie,2015,95.0,"Drama,Horror",5.6,38671
maggie,RAtt.,187000.0,0.0,2015,tt9000062,maggie,2018,88.0,Drama,6.4,16
detective k: secret of the lost island,CJ,185000.0,0.0,2015,tt4505170,detective k: secret of the lost island,2015,124.0,"Action,Adventure,Comedy",6.4,393
the priests,CJ,185000.0,0.0,2015,tt5049302,the priests,2015,103.0,"Mystery,Thriller",6.4,1303
the farewell party,Gold.,173000.0,0.0,2015,tt3163304,the farewell party,2014,95.0,"Comedy,Drama,Romance",7.0,1795
a brilliant young mind,Gold.,172000.0,0.0,2015,tt3149038,a brilliant young mind,2014,111.0,"Drama,Romance",7.2,25326
time out of mind,IFC,167000.0,0.0,2015,tt3505712,time out of mind,2014,120.0,Drama,5.7,3556
c'est si bon,CJ,164000.0,0.0,2015,tt4430992,c'est si bon,2015,122.0,"Drama,Romance",6.0,322
the last women standing,CL,163000.0,0.0,2015,tt5257730,the last women standing,2015,96.0,Romance,5.2,255
5 to 7,IFC,163000.0,0.0,2015,tt2486678,5 to 7,2014,95.0,"Comedy,Drama,Romance",7.1,16605
after the ball,Free,162000.0,0.0,2015,tt3717016,after the ball,2015,101.0,Comedy,5.9,2714
human capital,FM,159000.0,0.0,2015,tt2465578,human capital,2013,111.0,Drama,7.3,10468
experimenter,Magn.,156000.0,0.0,2015,tt3726704,experimenter,2015,98.0,"Biography,Drama,History",6.6,16099
desert dancer,Rela.,155000.0,0.0,2015,tt2403393,desert dancer,2014,104.0,"Biography,Drama,Music",6.2,1653
samba,BG,152000.0,0.0,2015,tt3399024,samba,2014,118.0,"Comedy,Drama,Romance",6.7,13388
the tribe,Drft.,151000.0,0.0,2015,tt1745787,the tribe,2014,126.0,"Crime,Drama",7.1,9313
the tribe,Drft.,151000.0,0.0,2015,tt3953186,the tribe,2016,97.0,"Drama,Sci-Fi,Thriller",4.6,340
the tribe,Drft.,151000.0,0.0,2015,tt6708044,the tribe,2018,90.0,Comedy,5.8,1496
the new girlfriend,Cohen,147000.0,0.0,2015,tt3184934,the new girlfriend,2014,108.0,Drama,6.6,6796
tangerines,Gold.,145000.0,0.0,2015,tt2991224,tangerines,2013,87.0,"Drama,War",8.2,33478
manglehorn,IFC,143000.0,0.0,2015,tt2893490,manglehorn,2014,97.0,Drama,5.6,6564
ingrid bergman: in her own words,Rialto,138000.0,0.0,2015,tt4621016,ingrid bergman: in her own words,2015,114.0,"Biography,Documentary",7.4,1750
mississippi grind,A24,131000.0,0.0,2015,tt2349144,mississippi grind,2015,108.0,"Comedy,Drama",6.4,17206
boulevard,SM,126000.0,0.0,2015,tt2624412,boulevard,2014,88.0,Drama,5.8,7446
z for zachariah,RAtt.,121000.0,0.0,2015,tt1598642,z for zachariah,2015,98.0,"Drama,Sci-Fi,Thriller",6.0,25429
do i sound gay?,IFC,119000.0,0.0,2015,tt3997238,do i sound gay?,2014,77.0,Documentary,5.6,1682
love live! the school idol movie,AZ,116000.0,0.0,2015,tt3837248,love live! the school idol movie,2015,99.0,"Animation,Comedy,Music",6.9,381
she's funny that way,LGP,112000.0,0.0,2015,tt1767372,she's funny that way,2014,93.0,"Comedy,Drama",6.1,22179
memories of the sword,WGUSA,111000.0,0.0,2015,tt3054798,memories of the sword,2015,120.0,"Action,Drama,History",6.3,1530
the look of silence,Drft.,109000.0,0.0,2015,tt3521134,the look of silence,2014,103.0,"Biography,Documentary,History",8.3,10162
the beauty inside,WGUSA,108000.0,0.0,2015,tt4273886,the beauty inside,2015,127.0,"Drama,Romance",7.4,4040
every secret thing,SM,104000.0,0.0,2015,tt1706598,every secret thing,2014,93.0,"Crime,Drama,Mystery",6.1,6294
ghost in the shell: the new movie,FUN,101000.0,0.0,2015,tt4337072,ghost in the shell: the new movie,2015,100.0,"Action,Animation,Sci-Fi",6.7,3003
saving mr. wu,UEP,92700.0,0.0,2015,tt4819560,saving mr. wu,2015,105.0,"Action,Crime,Drama",6.7,1918
christmas eve,Ampl.,91300.0,0.0,2015,tt3703148,christmas eve,2015,95.0,Comedy,5.1,2073
queen of earth,IFC,91200.0,0.0,2015,tt3993894,queen of earth,2015,90.0,"Drama,Thriller",6.3,5200
sunshine superman,Magn.,88100.0,0.0,2015,tt1322313,sunshine superman,2014,100.0,"Biography,Documentary,Sport",6.9,1214
heaven knows what,RTWC,80700.0,0.0,2015,tt3687186,heaven knows what,2014,97.0,Drama,6.7,4520
nasty baby,Orch.,79800.0,0.0,2015,tt3121332,nasty baby,2015,101.0,Drama,5.6,2099
the wonders,Osci.,73400.0,0.0,2015,tt2882590,the wonders,2013,112.0,"Comedy,Mystery",6.2,286
the wonders,Osci.,73400.0,0.0,2015,tt3044244,the wonders,2014,110.0,Drama,6.6,3916
predestination,VE,68400.0,0.0,2015,tt2397535,predestination,2014,97.0,"Drama,Mystery,Sci-Fi",7.5,225349
people places things,TFA,67000.0,0.0,2015,tt4104022,people places things,2015,85.0,"Comedy,Romance",6.9,7518
eden,BG,65500.0,0.0,2015,tt1734433,eden,2012,98.0,"Crime,Drama",6.7,7709
eden,BG,65500.0,0.0,2015,tt2063641,eden,2012,101.0,"Comedy,Drama",6.9,18
eden,BG,65500.0,0.0,2015,tt3032282,eden,2014,90.0,"Drama,Thriller",4.7,2576
eden,BG,65500.0,0.0,2015,tt3090634,eden,2014,131.0,"Biography,Drama,Music",6.4,3772
eden,BG,65500.0,0.0,2015,tt7539088,eden,2019,85.0,"Crime,Drama",8.0,11
eden,BG,65500.0,0.0,2015,tt9174880,eden,2018,97.0,Drama,6.7,20
the duke of burgundy,IFC,64500.0,0.0,2015,tt2570858,the duke of burgundy,2014,104.0,"Drama,Mystery,Romance",6.6,10301
flowers,MBox,61600.0,0.0,2015,tt1637681,flowers,2010,110.0,Drama,6.8,267
flowers,MBox,61600.0,0.0,2015,tt3900206,flowers,2014,99.0,Drama,6.9,2362
flowers,MBox,61600.0,0.0,2015,tt4248930,flowers,2015,79.0,"Horror,Mystery,Thriller",5.6,272
only you,CL,61600.0,0.0,2015,tt4819544,only you,2015,114.0,"Comedy,Romance",5.2,107
only you,CL,61600.0,0.0,2015,tt7531138,only you,2018,119.0,"Drama,Romance",6.9,41
jauja,CGld,60200.0,0.0,2015,tt2514338,jauja,2014,109.0,"Drama,Western",6.4,3468
i smile back,BG,58700.0,0.0,2015,tt3640682,i smile back,2015,85.0,Drama,6.1,4636
love thy nature,ITL,41100.0,11800.0,2015,tt3244466,love thy nature,2014,76.0,Documentary,6.9,112
the advocate: a missing body,CJ,50200.0,0.0,2015,tt4975498,the advocate: a missing body,2015,117.0,"Crime,Mystery",6.6,345
difret,TA,49700.0,0.0,2015,tt2611390,difret,2014,99.0,"Biography,Crime,Drama",6.8,1117
appropriate behavior,Grav.,46900.0,0.0,2015,tt3077108,appropriate behavior,2014,86.0,"Comedy,Drama,Romance",6.6,3468
beyond the reach,RAtt.,45900.0,0.0,2015,tt2911668,beyond the reach,2014,91.0,Thriller,5.6,8755
the salvation,IFC,44900.0,0.0,2015,tt2720680,the salvation,2014,92.0,"Drama,Western",6.7,32953
madame bovary,Alc,44200.0,0.0,2015,tt2334733,madame bovary,2014,118.0,Drama,5.7,6900
charlie's country,MR,42900.0,0.0,2015,tt3244512,charlie's country,2013,108.0,Drama,7.2,1708
the phone,CJ,40500.0,0.0,2015,tt5034276,the phone,2015,115.0,"Action,Mystery,Thriller",6.6,560
what our fathers did: a nazi legacy,Osci.,40100.0,0.0,2015,tt4668808,what our fathers did: a nazi legacy,2015,96.0,"Documentary,History",7.0,1054
lila & eve,Gold.,38300.0,0.0,2015,tt3442990,lila & eve,2015,94.0,"Crime,Drama,Mystery",5.8,7194
